"","Time","ABio","BBio","TotalDOM","DelBio","Turnover","NetGrowth","NPP","Rh","NEP","NBP","ToFPS","Scenario","ABio_sd","BBio_sd","TotalDOM_sd","DelBio_sd","Turnover_sd","NetGrowth_sd","NPP_sd","Rh_sd","NEP_sd","NBP_sd","ToFPS_sd","Burn","StandAge","Harvest","Rate","LiveC","ABioMgha","BBioMgha","TotalCMgha","TotalDOMMgha","NewTotalC","NBP_corrected","D","NEP_corrected","NPP_corrected","NetGrowth_corrected","ToFPSMgha","ToAirBurn","ToAirBurnMgha","NPPMgha","NEPMgha","NBPMgha","RhMgha","LiveCMgha","Year","HarvestIntensity","PH","ABio_CO2eha","BBio_CO2eha","Live_CO2eha","TotalDOM_CO2eha","TotalC_CO2eha","NPP_CO2eha","NEP_CO2eha","ToFPS_CO2eha","ToAirBurn_CO2eha","AvgFPS","AvgFPSMgha","AvgTotalCMgha","Percentage","ToFPS_m3ha","ToFPS_m3Total","ToFPS_m3harvested","X.1","X","Group.1","total_SingleFamilyHomes","total_MultiFamilyHomes","total_CommercialBuildings","total_ManufProds","total_Paper","total_Shipping","total_Repairs","total_Other","total_CO2eStorageinProducts","total_CO2eStorageInLandfillsandDumps","total_CO2eEmissionsfromLandfillandDumps","total_CH4EmissionsfromLandfillsandDumps_CO2e","total_CO2EmissionsfromLandfillsandDumps","total_BiogenicManufacturingEmissions","total_CradletoGateFossilEmissions_CO2e","Time.y","ToFPS.x","ToFPS.y","snagFPS","Total","sub1","sub2","r","yrly_landfill","yrly_biogenic","yrly_fossil","yrly_HWPflux","yrly_HWPfluxha","yrly_HWPfluxNoFossil","yrly_HWPfluxhaNoFossil","yrly_HWPflux_sub1","yrly_HWPfluxha_sub1","yrly_HWPfluxNoFossil_sub1","yrly_HWPfluxhaNoFossil_sub1","yrly_HWPfluxNoFossil_sub2","yrly_HWPfluxhaNoFossil_sub2","NSPCO2ehaNoFossil","NSPCO2ehaWithFossil","NSPCO2ehaNoFossilWithSub1","NSPCO2ehaNoFossilWithSub2","CumNSPCO2ehaNoFossil","CumNSPCO2ehaWithFossil","CumNSPCO2ehaNoFossilWithSub1","CumNSPCO2ehaNoFossilWithSub2","Baseline","NSPCO2ehaDiff","CumNSPCO2ehaDiff","ProductsCO2eha","LandfillCO2eha","TotalCO2eStorageha","TotalSystemCo2eha","TotalSystemMgha"
"1",1,19678.14248,5746.008094,27248.7991,300.6957294,612.7801804,47.8184795,660.6086575,572.0144784,88.584216,88.584216,0,"NoHarvest150",2.51667710447806,0.739305537626078,2.91294632113981,3.16784089565249,0.0997990243277092,0.0186340047041906,0.0974479780446971,0.151973485649018,0.22014975797051,0.22014975797051,0,"Burn",150,"NoHarvest","High",25424.150574,196.7814248,57.46008094,526.72949674,272.487991,52672.949674,88.7504240000053,0,88.7504240000053,660.764902400005,47.9847220000054,0,0,0,6.60764902400005,0.887504240000053,0.887504240000053,5.720144784,254.24150574,2026,"0","No",721.531890933333,210.686963446667,932.21885438,999.122633666667,1931.34148804667,24.2280464213335,3.25418221333353,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25418221333353,3.25418221333353,3.25418221333353,3.25418221333353,3.25418221333353,3.25418221333353,3.25418221333353,3.25418221333353,3.25418221333353,0,0,0,0,0,1931.34148804667,526.72949674
"2",2,19725.86128,5759.936164,27295.5035,61.68914038,613.4792855,47.07141975,660.5065806,574.3874939,86.111298,86.111298,0,"NoHarvest150",5.10768817105209,1.48963826126596,5.7804873424242,5.80964000338357,0.142166800198504,0.0259949754494672,0.137871400463282,0.30117228441921,0.433812616187626,0.433812616187626,0,"Burn",150,"NoHarvest","High",25485.797444,197.2586128,57.59936164,527.81300944,272.955035,52781.300944,108.351269999999,0,108.351269999999,682.738763899999,69.2594783999992,0,0,0,6.82738763899999,1.08351269999999,1.08351269999999,5.743874939,254.85797444,2027,"0","No",723.281580266667,211.197659346667,934.479239613333,1000.83512833333,1935.31436794667,25.0337546763333,3.97287989999997,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97287989999997,3.97287989999997,3.97287989999997,3.97287989999997,7.2270621133335,7.2270621133335,7.2270621133335,7.2270621133335,3.97287989999997,0,0,0,0,0,1935.31436794667,527.81300944
"3",3,19772.87437,5773.69247,27340.72169,60.73447863,614.1437096,46.24041825,660.3947204,576.5133309,83.89498475,83.89498475,0,"NoHarvest150",7.81018000944391,2.2826911417661,8.699235075347,5.63541324679573,0.254187901070929,0.0388705885303714,0.231477351623546,0.427071596061691,0.655552590485844,0.655552590485844,0,"Burn",150,"NoHarvest","High",25546.56684,197.7287437,57.7369247,528.8728853,273.4072169,52887.28853,105.987585999996,0,105.987585999996,682.500916899996,68.3572072999957,0,0,0,6.82500916899996,1.05987585999996,1.05987585999996,5.765133309,255.4656684,2028,"0","No",725.005393566667,211.702057233333,936.7074508,1002.49312863333,1939.20057943333,25.0250336196665,3.88621148666651,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88621148666651,3.88621148666651,3.88621148666651,3.88621148666651,11.1132736,11.1132736,11.1132736,11.1132736,3.88621148666651,0,0,0,0,0,1939.20057943333,528.8728853
"4",4,19820.8441,5787.68827,27382.82511,61.99306275,614.8439653,45.51915638,660.3328006,578.2907641,82.04460263,82.04460263,0,"NoHarvest150",8.10814507550571,2.3654803503036,8.43077850766227,3.5927142181849,0.237317057204206,0.041875871424358,0.224807407465221,0.388763003627726,0.59108290326865,0.59108290326865,0,"Burn",150,"NoHarvest","High",25608.53237,198.208441,57.8768827,529.9135748,273.8282511,52991.35748,104.068950000001,0,104.068950000001,682.359714100001,67.5157488000008,0,0,0,6.82359714100001,1.04068950000001,1.04068950000001,5.782907641,256.0853237,2029,"0","No",726.764283666667,212.215236566667,938.979520233333,1004.0369207,1943.01644093333,25.0198561836667,3.81586150000003,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81586150000003,3.81586150000003,3.81586150000003,3.81586150000003,14.9291351,14.9291351,14.9291351,14.9291351,3.81586150000003,0,0,0,0,0,1943.01644093333,529.9135748
"5",5,19867.86039,5801.407127,27424.56287,60.74577913,615.521849,44.9692125,660.4839084,579.9620204,80.52815925,80.52815925,0,"NoHarvest150",8.37646007213217,2.44555974865347,8.10277087986361,4.2996412732162,0.250369881507457,0.0489311924381683,0.238794185418443,0.344773721140393,0.576390340661569,0.576390340661569,0,"Burn",150,"NoHarvest","High",25669.267517,198.6786039,58.01407127,530.93830387,274.2456287,53093.830387,102.472907000003,0,102.472907000003,682.434927400003,66.9130784000031,0,0,0,6.82434927400003,1.02472907000003,1.02472907000003,5.799620204,256.69267517,2030,"0","No",728.4882143,212.718261323333,941.206475623333,1005.56730523333,1946.77378085667,25.0226140046668,3.75733992333344,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75733992333344,3.75733992333344,3.75733992333344,3.75733992333344,18.6864750233335,18.6864750233335,18.6864750233335,18.6864750233335,3.75733992333344,0,0,0,0,0,1946.77378085667,530.93830387
"6",6,19912.76011,5814.527062,27467.20922,58.00792188,616.1414564,44.26666938,660.4135753,581.5945786,78.81876288,78.81876288,0,"NoHarvest150",8.36291535218821,2.44278180272072,7.67891095202003,4.29978589620107,0.252465421205086,0.0411999872243458,0.236303319729255,0.308069052446542,0.533039632714978,0.533039632714978,0,"Burn",150,"NoHarvest","High",25727.287172,199.1276011,58.14527062,531.94496392,274.6720922,53194.496392,100.666004999999,0,100.666004999999,682.260583599999,66.1191271999991,0,0,0,6.82260583599999,1.00666004999999,1.00666004999999,5.815945786,257.27287172,2031,"0","No",730.134537366667,213.199325606667,943.333862973333,1007.13100473333,1950.46486770667,25.0162213986666,3.69108684999997,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69108684999997,3.69108684999997,3.69108684999997,3.69108684999997,22.3775618733334,22.3775618733334,22.3775618733334,22.3775618733334,3.69108684999997,0,0,0,0,0,1950.46486770667,531.94496392
"7",7,19958.64015,5827.919352,27507.22524,59.289262,616.8038656,43.7553475,660.5515631,583.0243378,77.52255413,77.52255413,0,"NoHarvest150",7.68417463910334,2.24451579851097,6.5415273578341,2.77198965206089,0.240152516489484,0.0376814034651743,0.239196127650109,0.235987337716325,0.458430086326719,0.458430086326719,0,"Burn",150,"NoHarvest","High",25786.559502,199.5864015,58.27919352,532.93784742,275.0722524,53293.784742,99.2883500000025,0,99.2883500000025,682.312687800003,65.5088222000026,0,0,0,6.82312687800003,0.992883500000025,0.992883500000025,5.830243378,257.86559502,2032,"0","No",731.8168055,213.69037624,945.50718174,1008.5982588,1954.10544054,25.0181318860001,3.64057283333343,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64057283333343,3.64057283333343,3.64057283333343,3.64057283333343,26.0181347066669,26.0181347066669,26.0181347066669,26.0181347066669,3.64057283333343,0,0,0,0,0,1954.10544054,532.93784742
"8",8,20003.93178,5841.151357,27546.46228,58.49943113,617.4322083,42.98193538,660.433831,584.3852284,76.044525,76.044525,0,"NoHarvest150",7.32601789337902,2.13902131257963,6.49700054485435,4.04746310056223,0.222911325469184,0.0448245056719366,0.219306608972638,0.251163904826473,0.446103028812615,0.446103028812615,0,"Burn",150,"NoHarvest","High",25845.083137,200.0393178,58.41151357,533.91545417,275.4646228,53391.545417,97.7606749999977,0,97.7606749999977,682.145903399998,64.7136950999977,0,0,0,6.82145903399998,0.977606749999977,0.977606749999977,5.843852284,258.45083137,2033,"0","No",733.4774986,214.175549756667,947.653048356667,1010.03695026667,1957.68999862333,25.0120164579999,3.58455808333325,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58455808333325,3.58455808333325,3.58455808333325,3.58455808333325,29.6026927900001,29.6026927900001,29.6026927900001,29.6026927900001,3.58455808333325,0,0,0,0,0,1957.68999862333,533.91545417
"9",9,20048.35508,5854.123859,27585.56095,57.38883025,618.0673955,42.46181613,660.5388833,585.7019161,74.83041013,74.83041013,0,"NoHarvest150",6.61240715243498,1.92921874751078,5.98736525041298,3.87188850396242,0.185418541253367,0.0392778798357476,0.190304029723538,0.260717164541374,0.407688208738483,0.407688208738483,0,"Burn",150,"NoHarvest","High",25902.478939,200.4835508,58.54123859,534.88039889,275.8556095,53488.039889,96.4944719999985,0,96.4944719999985,682.196388099998,64.1289925999985,0,0,0,6.82196388099998,0.964944719999985,0.964944719999985,5.857019161,259.02478939,2034,"0","No",735.106352933333,214.651208163333,949.757561096667,1011.47056816667,1961.22812926333,25.0138675636666,3.53813063999994,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53813063999994,3.53813063999994,3.53813063999994,3.53813063999994,33.1408234300001,33.1408234300001,33.1408234300001,33.1408234300001,3.53813063999994,0,0,0,0,0,1961.22812926333,534.88039889
"10",10,20092.91484,5867.131707,27623.72066,57.56404713,618.6689828,42.44772188,661.1253074,586.9515923,74.17668888,74.17668888,0,"NoHarvest150",7.86730262177199,2.29733179798335,7.14142647726419,4.63109884691054,0.233192775100646,0.0486507840978825,0.218469165249423,0.298673854405099,0.473869839920728,0.473869839920728,0,"Burn",150,"NoHarvest","High",25960.046547,200.9291484,58.67131707,535.83767207,276.2372066,53583.767207,95.7273179999975,0,95.7273179999975,682.678910299997,64.0099274999975,0,0,0,6.82678910299997,0.957273179999975,0.957273179999975,5.869515923,259.60046547,2035,"0","No",736.7402108,215.12816259,951.86837339,1012.86975753333,1964.73813092333,25.0315600443332,3.51000165999991,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51000165999991,3.51000165999991,3.51000165999991,3.51000165999991,36.65082509,36.65082509,36.65082509,36.65082509,3.51000165999991,0,0,0,0,0,1964.73813092333,535.83767207
