Row,Year,SingleFamilyHomes,MultiFamilyHomes,CommercialBuildings,ManufProds,Paper,Shipping,Repairs,Other,CO2eStorageinProducts,CO2eStorageInLandfillsandDumps,CO2eEmissionsfromLandfillandDumps,CH4EmissionsfromLandfillsandDumps_CO2e,CO2EmissionsfromLandfillsandDumps,BiogenicManufacturingEmissions,CradletoGateFossilEmissions_CO2e
1,1,0.182996289,0.011912462,0.050686577,0.083725655,0.277811518,0.061577222,0.173962433,0.099858787,0.942530942,0.052078442,5.89462E-06,5.89462E-06,0,0.514609137,0.241461704
2,2,0.181592331,0.011802874,0.050220291,0.082212284,0.241485849,0.045164871,0.169989125,0.098888238,0.881355863,0.097308644,0.016385272,6.07711E-06,0.016379195,0.514609137,0.241461704
3,3,0.180199145,0.011694295,0.049758296,0.080726267,0.209909998,0.03312695,0.166106568,0.097921577,0.829443096,0.134344946,0.032269862,0.000706597,0.031563265,0.514609137,0.241461704
4,4,0.178816648,0.011586715,0.04930055,0.079267111,0.182462896,0.02429753,0.162312689,0.096958984,0.785003121,0.16495748,0.047471849,0.001865783,0.045606066,0.514609137,0.241461704
5,5,0.177444757,0.011480124,0.048847015,0.077834329,0.158604681,0.017821441,0.158605462,0.096000628,0.746638437,0.190401699,0.062059915,0.003396227,0.058663688,0.514609137,0.241461704
6,6,0.176083391,0.011374514,0.048397652,0.076427445,0.137866084,0.013071442,0.154982908,0.095046674,0.713250111,0.21166342,0.075305908,0.004327154,0.070978754,0.514609137,0.241461704
7,7,0.17473247,0.011269875,0.047952424,0.075045992,0.119839193,0.009587473,0.151443094,0.094097277,0.683967798,0.229521756,0.087929292,0.005378937,0.082550355,0.514609137,0.241461704
8,8,0.173391913,0.011166199,0.047511291,0.073689508,0.104169437,0.007032097,0.147984129,0.093152584,0.658097158,0.244596471,0.099984113,0.006525633,0.09345848,0.514609137,0.241461704
9,9,0.172061641,0.011063477,0.047074216,0.072357544,0.090548603,0.005157812,0.144604167,0.092212736,0.635080196,0.257383755,0.111515151,0.007745521,0.10376963,0.514609137,0.241461704
10,10,0.170741575,0.0109617,0.046641162,0.071049655,0.078708782,0.003783086,0.141301403,0.091277867,0.61446523,0.268283368,0.122560221,0.009020408,0.113539814,0.514609137,0.241461704
