"","Age","Carbongpersqm"
"1",2,136.34343538555
"2",3,273.605215542094
"3",4,453.930206684016
"4",5,728.7813538788
"5",6,1151.3452543676
"6",7,1801.02380410053
"7",8,2803.35582690401
"8",9,4380.00380481491
"9",10,5237.15922034718
"10",11,6038.20697813756
"11",12,6908.51504430537
"12",13,7859.82234533905
"13",14,8650.10374971221
"14",15,9188.41960315641
"15",16,9622.41402552002
"16",17,10001.9011834934
"17",18,10356.667223538
"18",19,10671.4199252367
"19",20,10971.2049022764
"20",21,11257.2598565728
"21",22,11467.7243408356
"22",23,11611.2476901175
"23",24,11717.7490251
"24",25,11807.559009356
"25",26,11888.1805007707
"26",27,11927.8425315127
"27",28,11967.2430119753
"28",29,11987.8548914325
"29",30,12017.2136622877
"30",31,12051.5509664785
"31",32,12077.415290026
"32",33,12096.612284445
"33",34,12125.4922447619
"34",35,12122.2670241931
"35",36,12181.0599712226
"36",37,12215.8988422549
"37",38,12231.5259320015
"38",39,12277.5594370339
"39",40,12318.7151928438
"40",41,12371.6762893664
"41",42,12389.5643235432
"42",43,12430.5146205454
"43",44,12495.7908629921
"44",45,12527.3230409748
"45",46,12530.0413609008
"46",47,12563.629093498
"47",48,12592.0323391156
"48",49,12611.8567727491
"49",50,12642.8467199905
"50",51,12662.014296917
"51",52,12691.5792168085
"52",53,12717.2343222834
"53",54,12748.4467251354
"54",55,12775.4395882374
"55",56,12842.1805304227
"56",57,12902.9044853381
"57",58,12935.1517137077
"58",59,12985.4948991651
"59",60,13024.9016234517
"60",61,13030.3013614438
"61",62,13034.2129901785
"62",63,13104.3663872103
"63",64,13154.7697631798
"64",65,13210.5912616087
"65",66,13249.5921124437
"66",67,13284.1677729873
"67",68,13288.5227557722
"68",69,13337.5755379736
"69",70,13390.6163569131
"70",71,13410.6428057003
"71",72,13455.0482901578
"72",73,13520.8245533497
"73",74,13536.4601117489
"74",75,13580.4982850979
"75",76,13662.0735581883
"76",77,13667.4086702139
"77",78,13713.4428041581
"78",79,13752.965419771
"79",80,13790.9933204663
"80",81,13866.685530831
"81",82,13904.7114759917
"82",83,13913.5142581028
"83",84,13923.1758244698
"84",85,13929.78248789
"85",86,13961.4584694757
"86",87,14027.6744784776
"87",88,14067.2681435103
"88",89,14146.9714361669
"89",90,14207.8609467218
"90",91,14277.2666118828
"91",92,14329.238000558
"92",93,14367.7141807619
"93",94,14386.6265294391
"94",95,14427.9961687924
"95",96,14469.0313333254
"96",97,14484.8027712317
"97",98,14523.3041540346
"98",99,14510.4972778679
"99",100,14565.3651823478
"100",101,14595.046162812
"101",102,14635.1153168225
"102",103,14692.8680586946
"103",104,14728.302101473
"104",105,14787.2908597579
"105",106,14872.0450299384
"106",107,14960.920155802
"107",108,15003.863944599
"108",109,15094.5485794617
"109",110,15118.0588261269
"110",111,15182.571745543
"111",112,15215.2010342153
"112",113,15229.6504168603
"113",114,15202.8306027481
