"","Age","Biomassgpersqm"
"1",2,272.6868707711
"2",3,547.210431084187
"3",4,907.860413368033
"4",5,1457.5627077576
"5",6,2302.69050873521
"6",7,3602.04760820106
"7",8,5606.71165380801
"8",9,8760.00760962981
"9",10,10474.3184406944
"10",11,12076.4139562751
"11",12,13817.0300886107
"12",13,15719.6446906781
"13",14,17300.2074994244
"14",15,18376.8392063128
"15",16,19244.82805104
"16",17,20003.8023669867
"17",18,20713.3344470761
"18",19,21342.8398504735
"19",20,21942.4098045527
"20",21,22514.5197131456
"21",22,22935.4486816712
"22",23,23222.495380235
"23",24,23435.4980502001
"24",25,23615.118018712
"25",26,23776.3610015414
"26",27,23855.6850630254
"27",28,23934.4860239506
"28",29,23975.709782865
"29",30,24034.4273245754
"30",31,24103.101932957
"31",32,24154.8305800519
"32",33,24193.2245688899
"33",34,24250.9844895238
"34",35,24244.5340483862
"35",36,24362.1199424451
"36",37,24431.7976845099
"37",38,24463.051864003
"38",39,24555.1188740678
"39",40,24637.4303856876
"40",41,24743.3525787328
"41",42,24779.1286470865
"42",43,24861.0292410908
"43",44,24991.5817259841
"44",45,25054.6460819497
"45",46,25060.0827218016
"46",47,25127.258186996
"47",48,25184.0646782312
"48",49,25223.7135454983
"49",50,25285.6934399809
"50",51,25324.0285938341
"51",52,25383.1584336171
"52",53,25434.4686445668
"53",54,25496.8934502709
"54",55,25550.8791764749
"55",56,25684.3610608454
"56",57,25805.8089706762
"57",58,25870.3034274154
"58",59,25970.9897983302
"59",60,26049.8032469034
"60",61,26060.6027228877
"61",62,26068.4259803571
"62",63,26208.7327744206
"63",64,26309.5395263597
"64",65,26421.1825232174
"65",66,26499.1842248874
"66",67,26568.3355459747
"67",68,26577.0455115444
"68",69,26675.1510759473
"69",70,26781.2327138261
"70",71,26821.2856114006
"71",72,26910.0965803157
"72",73,27041.6491066993
"73",74,27072.9202234978
"74",75,27160.9965701958
"75",76,27324.1471163767
"76",77,27334.8173404278
"77",78,27426.8856083162
"78",79,27505.930839542
"79",80,27581.9866409326
"80",81,27733.3710616619
"81",82,27809.4229519834
"82",83,27827.0285162055
"83",84,27846.3516489396
"84",85,27859.56497578
"85",86,27922.9169389514
"86",87,28055.3489569551
"87",88,28134.5362870205
"88",89,28293.9428723337
"89",90,28415.7218934437
"90",91,28554.5332237655
"91",92,28658.4760011161
"92",93,28735.4283615238
